,area,living,layout,floor,allfloor,price
0,14.0,"depart,advstore,market,night,park,school,hospital",1房2廳1衛,12,14,"36,000"
1,23.0,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,2,4,"24,009"
2,31.0,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,7,7,"32,040"
3,22.0,,2房1廳1衛,4,5,"34,000"
4,60.0,"depart,advstore,market,park,school",4房2廳2衛,13,15,"130,000"
5,37.0,,2房1廳2衛,2,6,"60,000"
6,12.8,,1房1廳1衛,7,10,"26,000"
7,15.0,"depart,advstore,market,park,school,hospital",2房1廳1衛,1,5,"25,000"
8,38.0,"depart,advstore,market,night,park,school",3房2廳2衛,5,5,"39,999"
9,20.0,"depart,advstore,market,park,school",2房1廳1衛,4,5,"30,000"
10,28.7,,2房2廳1衛,6,12,"45,000"
11,42.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"50,000"
12,25.0,"depart,advstore,market,night,park,school,hospital",3房2廳1衛,2,4,"35,000"
13,35.0,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,16,17,"38,000"
14,17.0,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,7,"45,000"
15,22.0,"advstore,market,night,park,school,hospital",2房2廳1衛,8,8,"18,000"
16,52.2,,2房2廳2衛,10,15,"60,000"
17,22.6,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,6,14,"60,000"
18,47.8,"depart,advstore,market,park,school,hospital",4房2廳2衛,4,10,"62,800"
19,35.0,"depart,advstore,market,park",3房2廳2衛,3,12,"38,000"
20,17.0,"depart,advstore,market,park,school,hospital",2房1廳1衛,10,12,"48,000"
21,25.0,"depart,advstore,market,park,school,hospital",3房2廳1衛,2,4,"35,000"
22,38.0,"advstore,market,park,school",4房2廳2衛,3,7,"45,896"
23,21.0,"depart,advstore,market,park,hospital",1房1廳1衛,9,12,"38,000"
24,43.5,,2房2廳2衛,12,12,"39,800"
25,26.1,"advstore,market,night,school",3房2廳2衛,2,9,"48,000"
26,45.0,"depart,advstore,market,park,school,hospital",4房1廳2衛,9,15,"58,000"
27,45.0,"depart,advstore,market,park,school,hospital",4房1廳2衛,9,15,"58,000"
28,51.6,"advstore,market,night,park,school,hospital",4房2廳2衛,11,12,"63,500"
29,48.0,"depart,advstore,park,school",3房3廳2衛,4,5,"65,000"
0,23.8,"advstore,market,park,school",2房2廳1衛,11,14,"35,000"
1,13.2,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,5,7,"33,000"
2,37.0,"advstore,market,night,park,school,hospital",2房2廳2衛,3,6,"55,000"
3,46.3,,4房2廳2衛,2,14,"57,888"
4,43.3,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,2,7,"65,000"
5,27.7,"advstore,market,night,park,school",2房1廳1衛,2,7,"55,000"
6,32.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,2,12,"50,000"
7,39.5,"advstore,market,night,park,school,hospital",4房2廳2衛,2,5,"40,000"
8,55.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,7,"65,000"
9,42.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,12,"67,800"
10,16.5,"depart,advstore,park",1房2廳1衛,7,12,"42,000"
11,12.0,"advstore,market,night,park,school",1房1廳1衛,2,8,"32,000"
12,30.0,"advstore,market,night,park,school",2房2廳1衛,2,4,"28,000"
13,30.0,"depart,advstore,market,night,park,school",2房2廳1衛,4,4,"28,000"
14,27.0,"advstore,market,park,school",2房2廳1衛,7,12,"45,000"
15,48.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,4,15,"58,000"
16,15.0,,2房1廳1衛,3,7,"33,000"
17,20.0,"depart,advstore,market,park,school,hospital",2房2廳1衛,6,9,"42,000"
18,48.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,2,4,"68,000"
19,27.0,"advstore,market,night,park,school,hospital",1房1廳1衛,4,7,"45,000"
20,48.7,,4房2廳2衛,8,12,"72,000"
21,35.0,"advstore,market,night,park,school,hospital",3房2廳2衛,3,5,"39,000"
22,36.0,,3房2廳2衛,6,6,"45,000"
23,53.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,6,14,"63,888"
24,43.8,,4房2廳2衛,2,7,"68,000"
25,52.9,,2房2廳2衛,3,7,"65,000"
26,20.0,"advstore,park,hospital",2房2廳1衛,2,3,"38,800"
27,43.0,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,7,14,"48,000"
28,21.0,"advstore,market,night,park,school,hospital",2房1廳1衛,10,12,"32,000"
29,55.2,,4房2廳2衛,11,16,"55,000"
0,53.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,6,14,"56,888"
1,55.0,"depart,advstore,market,night,park,school,hospital",開放式格局,1,5,"58,000"
2,68.4,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,13,15,"130,000"
3,34.2,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,4,6,"55,300"
