"106年08月11日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,832.23","-","0.56","---",
"發行量加權股價指數","10,329.57","-","0.17","---",
"臺灣公司治理100指數","5,813.14","-","14.94","-0.26",
"臺灣50指數","7,911.39","-","9.56","-0.12",
"臺灣中型100指數","7,281.29","+","9.13","0.13",
"臺灣資訊科技指數","9,619.40","-","48.29","-0.50",
"臺灣發達指數","9,011.11","+","21.10","0.23",
"臺灣高股息指數","5,803.85","-","35.14","-0.60",
"臺灣就業99指數","5,981.49","+","10.79","0.18",
"臺灣高薪100指數","5,734.00","-","5.28","-0.09",
"臺灣低波動高股息指數","1,463.78","-","6.01","-0.41",
"未含金融保險股指數","8,805.31","-","2.95","-0.03",
"未含電子股指數","13,643.99","+","1.91","0.01",
"未含金融電子股指數","11,700.79","-","8.06","-0.07",
"小型股300指數","5,949.83","+","31.59","0.53",
"漲升股利150指數","5,922.34","-","3.34","-0.06",
"漲升股利100指數","5,906.70","-","5.42","-0.09",
"藍籌30指數","5,409.18","-","13.85","-0.26",
"工業菁英30指數","5,798.66","-","6.20","-0.11",
"電子菁英30指數","5,689.97","+","0.65","0.01",
"低波動精選30指數","5,429.85","-","1.11","-0.02",
"低貝塔100指數","5,191.96","-","3.46","-0.07",
"中小型精選50指數","5,129.01","+","9.40","0.18",
"中小型A級動能50指數","5,622.69","+","24.22","0.43",
"特選高息低波指數","4,932.16","-","12.65","-0.26",
"臺灣生技指數","4,837.95","-","62.48","-1.27",
"藍籌30反向一倍指數","9,197.06","+","23.43","0.26",
"水泥窯製類指數","434.00","-","0.15","-0.03",
"塑膠化工類指數","860.01","-","3.92","-0.45",
"機電類指數","2,464.03","+","0.64","0.03",
"水泥類指數","110.63","-","0.18","-0.16",
"食品類指數","1,479.66","+","0.22","0.01",
"塑膠類指數","263.90","-","0.88","-0.33",
"紡織纖維類指數","497.53","+","1.04","0.21",
"電機機械類指數","177.26","+","1.76","1.00",
"電器電纜類指數","42.60","+","0.53","1.26",
"化學生技醫療類指數","94.07","-","0.17","-0.18",
"化學類指數","100.11","+","0.46","0.46",
"生技醫療類指數","61.02","-","0.69","-1.12",
"玻璃陶瓷類指數","41.62","+","0.23","0.56",
"造紙類指數","246.05","+","3.17","1.31",
